Datetime,Content,Username,DisplayName,Location,Lang,Content_en,Polarity,subjectivity
2023-06-15 17:26:09+00:00,zoerobledo tuimss luisaalcalde normagabrielal5 todo a su tiempo felicidades tambien para ti y ojala logres tu proposito de ser gobernador en chiapas un abrazo y lo mejor esta por llegar,vicospato,victor barcenas,mexico d. f.,es,Zoerobledo Timsss Luisaalcalde all in time congratulations also for you and I hope you manage to be a governor in sparks a hug and the best is about to arrive,1.0,0.3
2023-05-20 22:57:10+00:00,"anoche se levanto un folio de mi situacion pero no tengo respuesta aun y como mencione ya deberia estar en atencion urgente ayer empezaron nuevas molestias intensas que no padecia asi que sigo empeorando cndhrd zoerobledo imssjalcontigo 45umf
tuimss enriquealfaror",dani_cddsf,daniel figueroa,unknown,es,Last night a folio was lifted from my situation but I have no answer yet and as I mentioned I should already be in urgent attention yesterday began new intense discomfort that did not seem so I still worsen cndhrd zoerobledo imssjalcontigo tuimsss Enriquealfaror,0.11212121212121212,0.5070707070707071
2023-06-13 18:37:55+00:00,"la secretaria de salud sesal ha anunciado la realizacion de la xxiii campana nacional de vacunacion antirrabica con el objetivo de vacunar de manera gratuita a 1276648 perros y 99764 gatos en todo el pais la campana comenzo el lunes y busca prevenir la propagacion de la rabia protegiendo tanto a las mascotas como a la poblacion en general

campustv noticias salud",campustvhn,campus television,"san pedro sula, honduras, c.a.",es,"The Secretary of Health Sign has announced the realization of the XXIII National Campana for Anti -Rabic Vaccination with the aim of vaccinating free of free dogs and cats throughout the country, the bell began on Monday and seeks to prevent the spread of rabies protecting both the pets as the general population Campus News Health",0.2833333333333334,0.7000000000000001
2023-06-04 00:32:33+00:00,tristemente pejecito tiene otros datos  jorgeramosnews  lo sabe muy bien y los ciudadanos tambien  apoyo trabajo de amlo pero nos esta quedando a deber y evade hablar con la verdad imss sigue siendo un desastre tambien y el y zoerobledo tienen otros datos,olgaletyalvarez,olga,"nogales, sonora, mexico",es,Sadly little fish has other JorgeramosNews data knows very well and citizens also support bad work but it is being duty and evades speaking with the Truth IMSS is still a disaster as well and Zoerobledo have other data,-0.18749999999999994,0.44333333333333336
2023-05-18 18:32:42+00:00,adn40 tuimss metrobuscdmx ortegakaren uncimss hidalgo presente seguimos luchando para recuperar nuestros ahorros de cesantia y vejez son patrimonio familiar,benita34164526,benita,unknown,es,TUIMSS Metrobuscdmx Ortegakaren Uncimsss Hidalgo present we continue to fight to recover our savings of unemployment and old age are family heritage,0.05,0.1
2023-05-04 18:08:25+00:00,cofepris zoerobledo tuimss a que hora hablaran con psicofarma para ya tengamos una solucion al desabasto de medicamentos psiquiatricos alexsvarch ,garabatogarban1,eliaw garabato,unknown,es,COFEPRIS ZOERObledo TIMSS What time will they talk to psychodrama to already have a solution to the contempt of Alexsvarch psychiatric medications,0.0,0.0
2023-05-16 17:59:01+00:00,xaenjasso xevtfm tuimss las salidas de emergencia estan normadas no puedes colocar candadoscerraduras tampoco debes generar una condicion de riesgo si en una emergencia rompes el cristal espero imss tome cartas en el asunto,luis_montero36,lm,"toronto, ontario",es,Xaeenjasso Xevtfm Tuimsss Emergency exits are formed You cannot place cloak -down locks You should not generate a risk condition if in an emergency you break the glass I hope IMSS Take letters in the matter,-0.15555555555555559,0.2888888888888889
2023-05-16 22:10:03+00:00,lopezobrador  tuimss zoerobledo imssedomexote la pesima atencion al derechohabiente umf 62  1o aceleran el procesoexamenes y citas y luego lo detienen formese en unifila regrese mnn solo dan 4 fichas vengase temprano a un operado d trailer molesto afuera de la unidad,angie52013537,anniee,mexico,es,LOPEZOBRADOR TUIMSS ZOEROBLEDO IMSSEDOMEXOTE The pesima attention to the right holder accelerate the process Examms and quotes and then stop it forms in uniform returns Man only give files come early to an annoying trailer opening,-0.10357142857142859,0.6839285714285714
2023-02-02 20:55:51+00:00,codorniz00 jorgealdanab eso le corresponde al gobierno central y secretaria de salud en primera instancia pero no estaria mal,hashibiinosuke,rick hunter,unknown,es,Jorgealdanab that corresponds to the central government and secretary of health in the first instance but it would not be bad,-0.14999999999999994,0.4166666666666667
2023-05-10 07:10:00+00:00,"  si tienes tramites pendientes en el imss no te dejes enganar 
httpstcosvta2q0hot",lasillarota,la silla rota,"mexico, distrito federal",es,"If you have pending procedures in the IMSS, do not let yourself be engaged",0.0,0.0
