date,drug1,drug2,drug3,drug4,drug5,drug6,drug7,drug8,drug1_sales,drug2_sales,drug3_sales,drug4_sales,drug5_sales,drug6_sales,drug7_sales,drug8_sales
1/2/2014,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0,0.0,2935.9999999999995,5100.0,19440.0,3850.0,0.0,0.0,1800.0
1/3/2014,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0,8000.0,3199.9999999999995,6600.000000000001,30360.0,8800.0,0.0,9000.0,3600.0
1/4/2014,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0,2000.0,799.9999999999999,9750.0,37110.0,5500.0,0.0,4050.0,900.0
1/5/2014,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0,4000.0,2399.9999999999995,10500.0,24660.0,4400.0,0.0,1350.0,0.0
1/6/2014,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0,5000.0,799.9999999999999,6750.0,13020.0,8800.0,20000.0,2700.0,1800.0
1/7/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/8/2014,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0,5330.0,2399.9999999999995,15750.0,15840.0,10450.0,10000.0,4500.0,0.0
1/9/2014,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0,7000.0,1343.9999999999998,12000.0,15000.0,8800.0,0.0,1350.0,1800.0
1/10/2014,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0,5000.0,1599.9999999999998,3000.0,31980.0,8250.0,20000.0,0.0,1800.0
1/11/2014,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2,5000.0,3471.9999999999995,15600.0,31380.0,7700.0,0.0,450.0,180.0
1/12/2014,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,2000.0,528.0,3750.0,7200.0,4400.0,0.0,450.0,900.0
1/13/2014,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0,7340.0,6127.999999999999,9300.0,31200.0,4950.0,0.0,3150.0,900.0
1/14/2014,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0,6000.0,1064.0,18450.0,20220.0,3300.0,10000.0,0.0,1800.0
1/15/2014,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0,4000.0,1871.9999999999995,7500.0,16020.0,6600.0,20000.0,1350.0,2700.0
1/16/2014,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0,6000.0,1599.9999999999998,6450.0,16980.0,10450.0,10000.0,2250.0,0.0
1/17/2014,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0,2000.0,2943.9999999999995,12450.000000000002,12240.0,8250.0,0.0,2700.0,2700.0
1/18/2014,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0,1000.0,4263.999999999999,8700.0,25920.0,8250.0,40000.0,3150.0,1800.0
1/19/2014,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,4330.0,3199.9999999999995,6000.0,8460.0,2200.0,0.0,450.0,900.0
